,Motion [Heave] (mm),Mechanical Trail [Left] [Rear] (mm),Mechanical Trail [Left] [Front] (mm),Camber Angle [Left] [Rear] (deg),Camber Angle [Left] [Front] (deg),Toe Angle [Left] [Front] (deg),Toe Angle [Left] [Rear] (deg),Lower A-Arm Chassis Fore Z [Left] [Rear] (mm),Lower A-Arm Chassis Aft Z [Left] [Rear] (mm),Tie Rod Chassis Z [Left] [Rear] (mm),Upper A-Arm Chassis Fore Z [Left] [Rear] (mm),Upper A-Arm Chassis Aft Z [Left] [Rear] (mm),Upper A-Arm Chassis Fore Z [Left] [Front] (mm),Upper A-Arm Chassis Aft Z [Left] [Front] (mm),Lower A-Arm Chassis Fore Z [Left] [Front] (mm),Lower A-Arm Chassis Aft Z [Left] [Front] (mm),Roll Center Z [Rear] (mm),Roll Center Z [Front] (mm),Tie Rod Chassis Z [Left] [Front] (mm)
Maximum Value,25.4,22.082,22.296,-1.926,-7.55E-01,1.344,5.00E-02,120.65,120.65,285.75,285.75,285.75,261.29,261.29,132.664,133.248,-3.65E-01,86.004,142.85
Minimum Value,-25.4,21.913,21.613,-2.092,-3.301,-1.073,-1.26E-01,69.85,69.85,234.95,234.95,234.95,210.49,210.49,81.864,82.448,-101.359,1.92E-01,92.05
Average Value,0,22.016,22.029,-2.004,-2.013,6.27E-02,-1.77E-02,95.25,95.25,260.35,260.35,260.35,235.89,235.89,107.264,107.848,-50.736,42.933,117.45
Start Value,0,22.031,22.092,-2,-2,0,0,95.25,95.25,260.35,260.35,260.35,235.89,235.89,107.264,107.848,-50.627,42.792,117.45
End Value,0,22.031,22.092,-2,-2,0,0,95.25,95.25,260.35,260.35,260.35,235.89,235.89,107.264,107.848,-50.627,42.792,117.45
Max Absolute Value,25.4,22.082,22.296,2.092,3.301,1.344,1.26E-01,120.65,120.65,285.75,285.75,285.75,261.29,261.29,132.664,133.248,101.359,86.004,142.85
Variance Value,298.45,3.46E-03,5.71E-02,3.19E-03,7.49E-01,6.78E-01,3.77E-03,298.45,298.45,298.45,298.45,298.45,298.45,298.45,298.45,298.45,"1,178.50",851.236,298.45
Std Deviation Value,17.276,5.88E-02,2.39E-01,5.64E-02,8.66E-01,8.23E-01,6.14E-02,17.276,17.276,17.276,17.276,17.276,17.276,17.276,17.276,17.276,34.329,29.176,17.276
Step [0],0,22.031,22.092,-2,-2,0,0,95.25,95.25,260.35,260.35,260.35,235.89,235.89,107.264,107.848,-50.627,42.792,117.45
Step [1],7.518,22.053,22.184,-1.976,-1.626,3.69E-01,2.26E-02,102.768,102.768,267.868,267.868,267.868,243.408,243.408,114.783,115.367,-35.725,55.509,124.968
Step [2],14.427,22.068,22.245,-1.956,-1.287,7.30E-01,3.75E-02,109.677,109.677,274.777,274.777,274.777,250.317,250.317,121.691,122.276,-22.056,67.246,131.877
Step [3],20.117,22.077,22.279,-1.94,-1.01,1.042,4.57E-02,115.367,115.367,280.467,280.467,280.467,256.007,256.007,127.381,127.965,-10.808,76.954,137.566
Step [4],23.978,22.081,22.292,-1.93,-8.23E-01,1.261,4.92E-02,119.228,119.228,284.328,284.328,284.328,259.867,259.867,131.242,131.826,-3.177,83.564,141.427
Step [5],25.4,22.082,22.296,-1.926,-7.55E-01,1.344,5.00E-02,120.65,120.65,285.75,285.75,285.75,261.29,261.29,132.664,133.248,-3.65E-01,86.004,142.85
Step [6],23.978,22.081,22.292,-1.93,-8.23E-01,1.261,4.92E-02,119.228,119.228,284.328,284.328,284.328,259.867,259.867,131.242,131.826,-3.177,83.564,141.427
Step [7],20.117,22.077,22.279,-1.94,-1.01,1.042,4.57E-02,115.367,115.367,280.467,280.467,280.467,256.007,256.007,127.381,127.965,-10.808,76.954,137.566
Step [8],14.427,22.068,22.245,-1.956,-1.287,7.30E-01,3.75E-02,109.677,109.677,274.777,274.777,274.777,250.317,250.317,121.691,122.276,-22.056,67.246,131.877
Step [9],7.518,22.053,22.184,-1.976,-1.626,3.69E-01,2.26E-02,102.768,102.768,267.868,267.868,267.868,243.408,243.408,114.783,115.367,-35.725,55.509,124.968
Step [10],0,22.031,22.092,-2,-2,0,0,95.25,95.25,260.35,260.35,260.35,235.89,235.89,107.264,107.848,-50.627,42.792,117.45
Step [11],-7.518,22.004,21.977,-2.025,-2.379,-3.46E-01,-2.92E-02,87.732,87.732,252.832,252.832,252.832,228.371,228.371,99.746,100.33,-65.57,30.128,109.931
Step [12],-14.427,21.973,21.851,-2.05,-2.731,-6.42E-01,-6.21E-02,80.823,80.823,245.923,245.923,245.923,221.463,221.463,92.837,93.421,-79.35,18.534,103.022
Step [13],-20.117,21.943,21.733,-2.071,-3.025,-8.72E-01,-9.36E-02,75.133,75.133,240.233,240.233,240.233,215.773,215.773,87.147,87.732,-90.741,9.013,97.333
Step [14],-23.978,21.921,21.646,-2.086,-3.227,-1.02,-1.17E-01,71.272,71.272,236.372,236.372,236.372,211.912,211.912,83.287,83.871,-98.496,2.565,93.472
Step [15],-25.4,21.913,21.613,-2.092,-3.301,-1.073,-1.26E-01,69.85,69.85,234.95,234.95,234.95,210.49,210.49,81.864,82.448,-101.359,1.92E-01,92.05
Step [16],-23.978,21.921,21.646,-2.086,-3.227,-1.02,-1.17E-01,71.272,71.272,236.372,236.372,236.372,211.912,211.912,83.287,83.871,-98.496,2.565,93.472
Step [17],-20.117,21.943,21.733,-2.071,-3.025,-8.72E-01,-9.36E-02,75.133,75.133,240.233,240.233,240.233,215.773,215.773,87.147,87.732,-90.741,9.013,97.333
Step [18],-14.427,21.973,21.851,-2.05,-2.731,-6.42E-01,-6.21E-02,80.823,80.823,245.923,245.923,245.923,221.463,221.463,92.837,93.421,-79.35,18.534,103.022
Step [19],-7.518,22.004,21.977,-2.025,-2.379,-3.46E-01,-2.92E-02,87.732,87.732,252.832,252.832,252.832,228.371,228.371,99.746,100.33,-65.57,30.128,109.931
Step [20],0,22.031,22.092,-2,-2,0,0,95.25,95.25,260.35,260.35,260.35,235.89,235.89,107.264,107.848,-50.627,42.792,117.45