,Mechanical Trail [Left] [Front] (in),Motion [Heave] (in),Toe Angle [Left] [Front] (deg),Toe Angle [Left] [Rear] (deg),Camber Angle [Left] [Front] (deg),Camber Angle [Left] [Rear] (deg),Mechanical Trail [Left] [Rear] (in),Lower A-Arm Chassis Fore Z [Left] [Front] (in),Lower A-Arm Chassis Aft Z [Left] [Front] (in),Upper A-Arm Chassis Fore Z [Left] [Front] (in),Upper A-Arm Chassis Aft Z [Left] [Front] (in),Lower A-Arm Chassis Fore Z [Left] [Rear] (in),Lower A-Arm Chassis Aft Z [Left] [Rear] (in),Upper A-Arm Chassis Fore Z [Left] [Rear] (in),Upper A-Arm Chassis Aft Z [Left] [Rear] (in),Tie Rod Chassis Z [Left] [Front] (in),Tie Rod Chassis Z [Left] [Rear] (in)
Maximum Value,8.92E-01,1,1.326,3.484,-7.69E-01,-6.38E-01,2.099,5.223,5.246,10.287,10.287,4.744,4.798,10.339,10.282,5.624,11.512
Minimum Value,8.39E-01,-1,-1.061,-3.502,-3.285,-3.475,1.78,3.223,3.246,8.287,8.287,2.744,2.798,8.339,8.282,3.624,9.512
Average Value,8.68E-01,0,6.13E-02,-4.10E-03,-2.013,-2.026,1.949,4.223,4.246,9.287,9.287,3.744,3.798,9.339,9.282,4.624,10.512
Start Value,8.70E-01,0,0,0,-2,-2,1.958,4.223,4.246,9.287,9.287,3.744,3.798,9.339,9.282,4.624,10.512
End Value,8.70E-01,0,0,0,-2,-2,1.958,4.223,4.246,9.287,9.287,3.744,3.798,9.339,9.282,4.624,10.512
Max Absolute Value,8.92E-01,1,1.326,3.502,3.285,3.475,2.099,5.223,5.246,10.287,10.287,4.744,4.798,10.339,10.282,5.624,11.512
Variance Value,0,4.63E-01,6.61E-01,5.64,7.31E-01,9.31E-01,1.18E-02,4.63E-01,4.63E-01,4.63E-01,4.63E-01,4.63E-01,4.63E-01,4.63E-01,4.63E-01,4.63E-01,4.63E-01
Std Deviation Value,1.82E-02,6.80E-01,8.13E-01,2.375,8.55E-01,9.65E-01,1.09E-01,6.80E-01,6.80E-01,6.80E-01,6.80E-01,6.80E-01,6.80E-01,6.80E-01,6.80E-01,6.80E-01,6.80E-01
Step [0],8.70E-01,0,0,0,-2,-2,1.958,4.223,4.246,9.287,9.287,3.744,3.798,9.339,9.282,4.624,10.512
Step [1],8.77E-01,0.296,3.65E-01,1.032,-1.631,-1.585,2.003,4.519,4.542,9.583,9.583,4.04,4.094,9.635,9.578,4.92,10.808
Step [2],8.84E-01,0.568,7.21E-01,1.979,-1.295,-1.212,2.042,4.791,4.814,9.855,9.855,4.312,4.366,9.907,9.85,5.192,11.08
Step [3],8.88E-01,0.792,1.028,2.759,-1.022,-9.12E-01,2.072,5.015,5.038,10.079,10.079,4.536,4.59,10.131,10.074,5.416,11.304
Step [4],8.91E-01,9.44E-01,1.245,3.289,-8.37E-01,-7.11E-01,2.092,5.167,5.19,10.231,10.231,4.688,4.742,10.283,10.226,5.568,11.456
Step [5],8.92E-01,1,1.326,3.484,-7.69E-01,-6.38E-01,2.099,5.223,5.246,10.287,10.287,4.744,4.798,10.339,10.282,5.624,11.512
Step [6],8.91E-01,9.44E-01,1.245,3.289,-8.37E-01,-7.11E-01,2.092,5.167,5.19,10.231,10.231,4.688,4.742,10.283,10.226,5.568,11.456
Step [7],8.88E-01,0.792,1.028,2.759,-1.022,-9.12E-01,2.072,5.015,5.038,10.079,10.079,4.536,4.59,10.131,10.074,5.416,11.304
Step [8],8.84E-01,5.68E-01,7.21E-01,1.979,-1.295,-1.212,2.042,4.791,4.814,9.855,9.855,4.312,4.366,9.907,9.85,5.192,11.08
Step [9],8.77E-01,2.96E-01,3.65E-01,1.032,-1.631,-1.585,2.003,4.519,4.542,9.583,9.583,4.04,4.094,9.635,9.578,4.92,10.808
Step [10],8.70E-01,0,0,0,-2,-2,1.958,4.223,4.246,9.287,9.287,3.744,3.798,9.339,9.282,4.624,10.512
Step [11],8.61E-01,-2.96E-01,-3.42E-01,-1.033,-2.374,-2.425,1.909,3.927,3.95,8.991,8.991,3.448,3.502,9.043,8.986,4.328,10.216
Step [12],8.53E-01,-0.568,-6.35E-01,-1.985,-2.722,-2.824,1.862,3.655,3.678,8.719,8.719,3.176,3.23,8.771,8.714,4.056,9.944
Step [13],8.46E-01,-7.92E-01,-8.62E-01,-2.77,-3.012,-3.159,1.82,3.431,3.454,8.495,8.495,2.952,3.006,8.547,8.49,3.832,9.72
Step [14],8.41E-01,-0.944,-1.009,-3.305,-3.211,-3.389,1.791,3.279,3.302,8.343,8.343,2.8,2.854,8.395,8.338,3.68,9.568
Step [15],8.39E-01,-1,-1.061,-3.502,-3.285,-3.475,1.78,3.223,3.246,8.287,8.287,2.744,2.798,8.339,8.282,3.624,9.512
Step [16],8.41E-01,-0.944,-1.009,-3.305,-3.211,-3.389,1.791,3.279,3.302,8.343,8.343,2.8,2.854,8.395,8.338,3.68,9.568
Step [17],8.46E-01,-7.92E-01,-8.62E-01,-2.77,-3.012,-3.159,1.82,3.431,3.454,8.495,8.495,2.952,3.006,8.547,8.49,3.832,9.72
Step [18],8.53E-01,-0.568,-6.35E-01,-1.985,-2.722,-2.824,1.862,3.655,3.678,8.719,8.719,3.176,3.23,8.771,8.714,4.056,9.944
Step [19],8.61E-01,-2.96E-01,-3.42E-01,-1.033,-2.374,-2.425,1.909,3.927,3.95,8.991,8.991,3.448,3.502,9.043,8.986,4.328,10.216
Step [20],8.70E-01,0,0,0,-2,-2,1.958,4.223,4.246,9.287,9.287,3.744,3.798,9.339,9.282,4.624,10.512
